City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Ajdabiya,LY,2022-02-12 19:17:36,30.7554,20.2263,55.08,62,0,3.83
93,Uvira,CD,2022-02-12 19:17:36,-3.4067,29.1458,73.53,85,100,1.1
94,Savinskiy,RU,2022-02-12 19:17:37,62.9342,40.1361,11.28,96,100,5.55
95,Huntingdon,GB,2022-02-12 19:15:43,52.3305,-0.1865,45.1,72,100,11.99
96,Avarua,CK,2022-02-12 19:10:24,-21.2078,-159.775,78.85,89,100,2.3
97,Esmeraldas,BR,2022-02-12 19:17:37,-19.7625,-44.3139,76.24,83,75,7.34
98,Ponta Do Sol,PT,2022-02-12 19:13:55,32.6667,-17.1,63.23,53,34,4.23
99,Paramonga,PE,2022-02-12 19:17:38,-10.6667,-77.8333,75.63,69,22,12.06
100,Bredasdorp,ZA,2022-02-12 19:12:50,-34.5322,20.0403,68.29,76,100,5.37
101,Hami,CN,2022-02-12 19:13:38,42.8,93.45,28.33,52,80,1.21
102,Canita,PA,2022-02-12 19:17:39,9.2097,-78.8811,93.74,60,29,13.38
103,Khandyga,RU,2022-02-12 19:12:59,62.6667,135.6,-41.57,100,97,2.24
104,Hithadhoo,MV,2022-02-12 19:13:43,-0.6,73.0833,81.5,68,100,9.35
105,Codrington,AU,2022-02-12 19:15:56,-38.2667,141.9667,67.78,52,100,10.51
106,Hofn,IS,2022-02-12 19:17:39,64.2539,-15.2082,24.69,69,100,21.61
107,Sarangani,PH,2022-02-12 19:17:40,5.4033,125.4636,81.52,74,99,19.84
108,Thompson,CA,2022-02-12 19:14:00,55.7435,-97.8558,-3.33,77,26,8.16
109,Ust-Tsilma,RU,2022-02-12 19:17:40,65.441,52.1498,13.75,95,93,6.38
110,Korla,CN,2022-02-12 19:13:59,41.7597,86.1469,29.62,45,99,8.14
111,Usoke,TZ,2022-02-12 19:17:41,-5.1667,32.35,65.8,93,100,0.04
112,Sola,VU,2022-02-12 19:17:41,-13.8833,167.55,80.13,72,97,4.92
113,Nyalikungu,TZ,2022-02-12 19:17:42,-3.1833,33.7833,63.93,88,86,3.47
114,Solvychegodsk,RU,2022-02-12 19:17:42,61.3305,46.9156,19.42,95,100,5.99
115,Leningradskiy,RU,2022-02-12 19:14:04,69.3833,178.4167,-19.64,97,98,4.43
116,Monte Alegre De Sergipe,BR,2022-02-12 19:17:43,-10.0272,-37.5622,87.87,42,90,5.61
117,Erenhot,CN,2022-02-12 19:17:43,43.6475,111.9767,-0.27,90,100,8.05
118,Oranjemund,NA,2022-02-12 19:17:43,-28.55,16.4333,68.18,77,5,12.06
119,Sao Filipe,CV,2022-02-12 19:14:13,14.8961,-24.4956,79.41,44,54,20.58
120,Nanortalik,GL,2022-02-12 19:12:46,60.1432,-45.2371,30.4,97,100,6.31
121,West Richland,US,2022-02-12 19:13:23,46.3043,-119.3614,47.44,54,0,3.44
122,Bathsheba,BB,2022-02-12 19:17:44,13.2167,-59.5167,83.01,57,20,21.85
123,Tuktoyaktuk,CA,2022-02-12 19:12:46,69.4541,-133.0374,-30.75,98,20,4.79
124,Biak,ID,2022-02-12 19:13:17,-0.9131,122.8766,74.71,90,100,2.51
125,Thayetmyo,MM,2022-02-12 19:17:45,19.3167,95.1833,62.56,59,100,2.37
126,Champerico,GT,2022-02-12 19:14:26,14.3,-91.9167,97.34,56,0,10.09
127,Mahebourg,MU,2022-02-12 19:13:20,-20.4081,57.7,78.26,85,9,10.16
128,Kedrovyy,RU,2022-02-12 19:17:45,56.1667,91.8167,-17.14,95,41,8.48
129,Suzhou,CN,2022-02-12 19:17:46,31.3114,120.6181,44.47,91,100,5.3
130,Petauke,ZM,2022-02-12 19:17:46,-14.2426,31.3253,64.0,96,66,3.78
